Row,color,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
C,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,8,8,8,8,8,8,8,8
D,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,7,7,7,7,7,7,7,7
E,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,6,6,6,6,6,6,6,6
F,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,5,5,5,5,5,5,5,5
G,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,4,4,4,4,4,4,4,4
H,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,3,3,3,3,3,3,3,3
I,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,2,2,2,2,2,2,2,2
J,Orange,0,0,0,0,0,0,0,0,8,7,6,5,4,3,2,1,1,1,1,1,1,1,1,1
K,Orange,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,7,6,5,4,3,2,1
L,Orange,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,9,8,7,6,5,4,3,2,1
M,Orange,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,10,10,10,10,10,10,10,10,10
N,Orange,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,9,9,9,9,9,9,9,9,9
O,Orange,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
P,Orange,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
